,road,abbrevs
51,US 34,"us 34,us-34,us34,u.s. 34,u.s.-34,u.s.34,us route 34,us route-34,us route34,u.s. route 34,u.s. route-34,u.s. route34,us rte 34,us rte-34,us rte34,u.s. rte 34,u.s. rte-34,u.s. rte34,us-route 34,us-route-34,us-route34,u.s.-route 34,u.s.-route-34,u.s.-route34,us-rte 34,us-rte-34,us-rte34,u.s.-rte 34,u.s.-rte-34,u.s.-rte34"
52,US 35,"us 35,us-35,us35,u.s. 35,u.s.-35,u.s.35,us route 35,us route-35,us route35,u.s. route 35,u.s. route-35,u.s. route35,us rte 35,us rte-35,us rte35,u.s. rte 35,u.s. rte-35,u.s. rte35,us-route 35,us-route-35,us-route35,u.s.-route 35,u.s.-route-35,u.s.-route35,us-rte 35,us-rte-35,us-rte35,u.s.-rte 35,u.s.-rte-35,u.s.-rte35"
53,US 36,"us 36,us-36,us36,u.s. 36,u.s.-36,u.s.36,us route 36,us route-36,us route36,u.s. route 36,u.s. route-36,u.s. route36,us rte 36,us rte-36,us rte36,u.s. rte 36,u.s. rte-36,u.s. rte36,us-route 36,us-route-36,us-route36,u.s.-route 36,u.s.-route-36,u.s.-route36,us-rte 36,us-rte-36,us-rte36,u.s.-rte 36,u.s.-rte-36,u.s.-rte36"
54,US 40,"us 40,us-40,us40,u.s. 40,u.s.-40,u.s.40,us route 40,us route-40,us route40,u.s. route 40,u.s. route-40,u.s. route40,us rte 40,us rte-40,us rte40,u.s. rte 40,u.s. rte-40,u.s. rte40,us-route 40,us-route-40,us-route40,u.s.-route 40,u.s.-route-40,u.s.-route40,us-rte 40,us-rte-40,us-rte40,u.s.-rte 40,u.s.-rte-40,u.s.-rte40"
55,US 41,"us 41,us-41,us41,u.s. 41,u.s.-41,u.s.41,us route 41,us route-41,us route41,u.s. route 41,u.s. route-41,u.s. route41,us rte 41,us rte-41,us rte41,u.s. rte 41,u.s. rte-41,u.s. rte41,us-route 41,us-route-41,us-route41,u.s.-route 41,u.s.-route-41,u.s.-route41,us-rte 41,us-rte-41,us-rte41,u.s.-rte 41,u.s.-rte-41,u.s.-rte41"
56,US 42,"us 42,us-42,us42,u.s. 42,u.s.-42,u.s.42,us route 42,us route-42,us route42,u.s. route 42,u.s. route-42,u.s. route42,us rte 42,us rte-42,us rte42,u.s. rte 42,u.s. rte-42,u.s. rte42,us-route 42,us-route-42,us-route42,u.s.-route 42,u.s.-route-42,u.s.-route42,us-rte 42,us-rte-42,us-rte42,u.s.-rte 42,u.s.-rte-42,u.s.-rte42"
57,US 43,"us 43,us-43,us43,u.s. 43,u.s.-43,u.s.43,us route 43,us route-43,us route43,u.s. route 43,u.s. route-43,u.s. route43,us rte 43,us rte-43,us rte43,u.s. rte 43,u.s. rte-43,u.s. rte43,us-route 43,us-route-43,us-route43,u.s.-route 43,u.s.-route-43,u.s.-route43,us-rte 43,us-rte-43,us-rte43,u.s.-rte 43,u.s.-rte-43,u.s.-rte43"
58,US 44,"us 44,us-44,us44,u.s. 44,u.s.-44,u.s.44,us route 44,us route-44,us route44,u.s. route 44,u.s. route-44,u.s. route44,us rte 44,us rte-44,us rte44,u.s. rte 44,u.s. rte-44,u.s. rte44,us-route 44,us-route-44,us-route44,u.s.-route 44,u.s.-route-44,u.s.-route44,us-rte 44,us-rte-44,us-rte44,u.s.-rte 44,u.s.-rte-44,u.s.-rte44"
59,US 45,"us 45,us-45,us45,u.s. 45,u.s.-45,u.s.45,us route 45,us route-45,us route45,u.s. route 45,u.s. route-45,u.s. route45,us rte 45,us rte-45,us rte45,u.s. rte 45,u.s. rte-45,u.s. rte45,us-route 45,us-route-45,us-route45,u.s.-route 45,u.s.-route-45,u.s.-route45,us-rte 45,us-rte-45,us-rte45,u.s.-rte 45,u.s.-rte-45,u.s.-rte45"
60,US 46,"us 46,us-46,us46,u.s. 46,u.s.-46,u.s.46,us route 46,us route-46,us route46,u.s. route 46,u.s. route-46,u.s. route46,us rte 46,us rte-46,us rte46,u.s. rte 46,u.s. rte-46,u.s. rte46,us-route 46,us-route-46,us-route46,u.s.-route 46,u.s.-route-46,u.s.-route46,us-rte 46,us-rte-46,us-rte46,u.s.-rte 46,u.s.-rte-46,u.s.-rte46"
