,Other_Road_List
101,"obje court,updated: obje court,road way,on road way,ea street,i-10 ea street,le fort,130 le fort,left lane,130 left lane,la street,blocked la street"
102,"obje court,updated: obje court,road way,on road way,ea street,i-10 ea street,le fort,131 le fort,left lane,131 left lane,la street,blocked la street"
103,"obje court,new: obje court,road way,on road way,ea street,i-10 ea street,le fort,131 le fort,left lane,131 left lane,la street,blocked la street"
104,"obje court,new: obje court,road way,on road way,ea street,i-10 ea street,rig heights,48 rig heights,right lane,48 right lane,la street,blocked la street"
105,"rig heights,4 rig heights,right lane,4 right lane,la street,blocked la street"
106,"w estate,i-10 w estate,we street,i-10 we street,rig heights,154 rig heights,right lane,154 right lane,la street,blocked la street"
107,"w estate,i-10 w estate,we street,i-10 we street,rig heights,holt rig heights,right lane,holt right lane,la street,blocked la street"
108,"w estate,i-10 w estate,we street,i-10 we street,rig heights,48 rig heights,right lane,48 right lane,la street,blocked la street"
109,"w estate,i-10 w estate,we street,i-10 we street,avalon boulevard,22 avalon boulevard,rig heights,blvd rig heights,right lane,blvd right lane,la street,blocked la street"
110,"w estate,i-10 w estate,we street,i-10 we street,avalon boulevard,22 avalon boulevard,rig heights,blvd rig heights,right lane,blvd right lane,la street,blocked la street"
111,"w estate,i-10 w estate,we street,i-10 we street,wa road,28 wa road,le fort,basin le fort,left lane,basin left lane,la street,blocked la street"
112,"w estate,i-10 w estate,we street,i-10 we street,wa road,28 wa road,la street,blocked la street"
113,"w estate,i-10 w estate,we street,i-10 we street,wa road,28 wa road,la street,blocked la street"
114,"w estate,i-10 w estate,we street,i-10 we street,wa road,28 wa road,la street,blocked la street"
115,"w estate,i-10 w estate,we street,i-10 we street,wa road,28 wa road,la street,blocked la street"
116,"w estate,i-10 w estate,we street,i-10 we street,wa road,28 wa road,la street,blocked la street"
117,"w estate,i-10 w estate,we street,i-10 we street,wa road,28 wa road,la street,blocked la street"
118,"w estate,i-10 w estate,we street,i-10 we street,wa road,28 wa road,la street,blocked la street"
119,"ea street,i-10 ea street,scenic highway,17 scenic highway,h way,scenic h way,rig heights,hwy rig heights,right lane,hwy right lane,la street,blocked la street"
120,"rig heights,1 rig heights,right lane,1 right lane,la street,blocked la street"
121,"w estate,i-10 w estate,we street,i-10 we street,rig heights,i-110 rig heights,right lane,i-110 right lane,la street,blocked la street"
122,"w estate,i-10 w estate,we street,i-10 we street,rig heights,i-110 rig heights,right lane,i-110 right lane,la street,blocked la street"
123,"w estate,i-10 w estate,we street,i-10 we street,rig heights,i-110 rig heights,right lane,i-110 right lane,la street,blocked la street"
124,"north ramp,i-110 north ramp,off- ramp,10 off- ramp,rig heights,off-ramp rig heights,right lane,off-ramp right lane"
125,"north ramp,i-110 north ramp,off- ramp,10 off- ramp,rig heights,off-ramp rig heights,right lane,off-ramp right lane,la street,blocked la street"
126,"obje court,new: obje court,road way,on road way,w estate,i-10 w estate,we street,i-10 we street,wa road,28 wa road,rig heights,basin rig heights,right lane,basin right lane,la street,blocked la street"
127,"obje court,updated: obje court,road way,on road way,ea street,i-10 ea street,rig heights,62 rig heights,right lane,62 right lane,la street,blocked la street"
128,"th island,expe court,2017! expe court,expect road,2017! expect road,#afamulyre union,#fangsup #afamulyre union"
129,"pepper drive,from lake,closed from lake,brad ford,lake brad ford,bradfo road,lake bradfo road,bradford road,lake bradford road,glenda drive,to glenda drive"
130,"sidewa lake,and sidewa lake,side walk,and side walk,ocala road,222 ocala road"
131,"today island,reminder: today island,7a-6:30p park,from 7a-6:30p park,calho union,& calho union"
132,"sidewa lake,and sidewa lake,side walk,and side walk,ocala road,222 ocala road"
133,"m lake,s m lake,jr boulevard,mlk jr boulevard,famu way,from famu way,barbour ville,to barbour ville"
134,tomor row
135,"th island,expe court,2017! expe court,expect road,2017! expect road,#afamulyre union,#fangsup #afamulyre union"
136,"2017 island,festival 2017 island,7a-6:30p park,from 7a-6:30p park,park avenue,7a-6:30p park avenue,calho union,& calho union"
137,"tonig heights,southbound lane,easternmost southbound lane,monroe street,of monroe street,3 road,of 3 road,3rd street,of 3rd street"
138,"expe court,expect lane,willaur circle,along willaur circle,9th avenue,& 9th avenue,magnolia drive,ave magnolia drive,call street,dr call street,lee avenue,& lee avenue"
139,"nig heights,tmrw nig heights,southbound lane,easternmost southbound lane,ju street,monroe ju street,3 road,of 3 road,3rd avenue,of 3rd avenue"
140,"tonig heights,50 fort,9p-12a 50 fort,sb lane,easternmost sb lane,3 road,& 3 road,3rd avenue,& 3rd avenue"
141,"tonig heights,nb lane,inside nb lane,thomas ville,of thomas ville,thomasville road,of thomasville road,near village,closed near village,village square,near village square,square boulevard,village square boulevard"
142,"rig heights,i-4 rig heights,right lane,i-4 right lane,la street,blocked la street"
143,"la street,blocked la street"
144,"la street,blocked la street"
145,"rig heights,92 rig heights,right lane,92 right lane,la street,blocked la street"
146,"la street,blocked la street"
147,"breva road,in breva road"
148,"rig heights,92 rig heights,right lane,92 right lane,la street,blocked la street"
149,"la street,blocked la street"
150,"breva road,in breva road,rig heights,2 rig heights,la street,blocked la street"
151,"rig heights,92 rig heights,right lane,92 right lane,la street,blocked la street"
152,"sevenmile bridge,43 sevenmile bridge,b ridge,sevenmile b ridge,la street,blocked la street"
153,"w estate,sr-112 w estate,we street,sr-112 we street,36 street,nw 36 street,rig heights,st rig heights,right lane,st right lane,la street,blocked la street"
154,"184 street,drsw 184 street,le fort,st le fort,left lane,st left lane"
155,"w estate,sr-112 w estate,we street,sr-112 we street,36 street,nw 36 street,rig heights,st rig heights,right lane,st right lane,la street,blocked la street"
156,"sevenmile bridge,43 sevenmile bridge,b ridge,sevenmile b ridge,la street,blocked la street"
157,"le fort,2 le fort,la street,blocked la street"
158,"main street,on main street,street bridge,main street bridge,b ridge,street b ridge,at street,south at street,johns river,st johns river,la street,blocked la street"
159,"rig heights,92 rig heights,right lane,92 right lane,la street,blocked la street"
160,"browa road,in browa road,stirling road,beyond stirling road,rig heights,rd rig heights,right lane,rd right lane,la street,blocked la street"
161,"main street,on main street,street bridge,main street bridge,b ridge,street b ridge,at street,north at street,johns river,st johns river,la street,blocked la street"
162,"main street,the main street,street bridge,main street bridge,b ridge,street b ridge,bridge island,street bridge island,alternate route,an alternate route"
163,"rig heights,i-4 rig heights,right lane,i-4 right lane,la street,blocked la street"
164,"butler boulevard,sr-202 butler boulevard,w estate,blvd w estate,we street,blvd we street,gate parkway,at gate parkway,pk way,gate pk way,2 center,pkwy 2 center,cen terrace,2 cen terrace,la street,blocked la street"
165,"w estate,i-4 w estate,we street,i-4 we street,par street,86 par street,le fort,st le fort,left lane,st left lane,la street,blocked la street"
166,"rig heights,92 rig heights,right lane,92 right lane,la street,blocked la street"
167,"roosevelt boulevard,on roosevelt boulevard"
168,"alligator alley,i-75s alligator alley,alley island,alligator alley island"
169,"la street,blocked la street"
170,"traffic island,blocked traffic island,rig heights,the rig heights"
171,"la street,blocked la street"
172,"le fort,2 le fort,la street,blocked la street"
173,"w estate,sr-836 w estate,we street,sr-836 we street,i-95 center,beyond i-95 center,cen terrace,i-95 cen terrace,center lane,i-95 center lane,la street,blocked la street"
174,"memorial boulevard,stpba memorial boulevard,le fort,2 le fort,la street,blocked la street"
175,"le fort,2 le fort,la street,blocked la street"
176,"rig heights,2 rig heights,la street,blocked la street"
177,"w estate,sr-408 w estate,we street,sr-408 we street,mercy drive,at mercy drive,rig heights,dr rig heights,right lane,dr right lane,la street,blocked la street"
