,road,abbrevs
66,US 57,"us 57,us-57,us57,u.s. 57,u.s.-57,u.s.57,us route 57,us route-57,us route57,u.s. route 57,u.s. route-57,u.s. route57,us rte 57,us rte-57,us rte57,u.s. rte 57,u.s. rte-57,u.s. rte57,us-route 57,us-route-57,us-route57,u.s.-route 57,u.s.-route-57,u.s.-route57,us-rte 57,us-rte-57,us-rte57,u.s.-rte 57,u.s.-rte-57,u.s.-rte57"
67,US 58,"us 58,us-58,us58,u.s. 58,u.s.-58,u.s.58,us route 58,us route-58,us route58,u.s. route 58,u.s. route-58,u.s. route58,us rte 58,us rte-58,us rte58,u.s. rte 58,u.s. rte-58,u.s. rte58,us-route 58,us-route-58,us-route58,u.s.-route 58,u.s.-route-58,u.s.-route58,us-rte 58,us-rte-58,us-rte58,u.s.-rte 58,u.s.-rte-58,u.s.-rte58"
68,US 59,"us 59,us-59,us59,u.s. 59,u.s.-59,u.s.59,us route 59,us route-59,us route59,u.s. route 59,u.s. route-59,u.s. route59,us rte 59,us rte-59,us rte59,u.s. rte 59,u.s. rte-59,u.s. rte59,us-route 59,us-route-59,us-route59,u.s.-route 59,u.s.-route-59,u.s.-route59,us-rte 59,us-rte-59,us-rte59,u.s.-rte 59,u.s.-rte-59,u.s.-rte59"
69,US 60,"us 60,us-60,us60,u.s. 60,u.s.-60,u.s.60,us route 60,us route-60,us route60,u.s. route 60,u.s. route-60,u.s. route60,us rte 60,us rte-60,us rte60,u.s. rte 60,u.s. rte-60,u.s. rte60,us-route 60,us-route-60,us-route60,u.s.-route 60,u.s.-route-60,u.s.-route60,us-rte 60,us-rte-60,us-rte60,u.s.-rte 60,u.s.-rte-60,u.s.-rte60"
70,US 61,"us 61,us-61,us61,u.s. 61,u.s.-61,u.s.61,us route 61,us route-61,us route61,u.s. route 61,u.s. route-61,u.s. route61,us rte 61,us rte-61,us rte61,u.s. rte 61,u.s. rte-61,u.s. rte61,us-route 61,us-route-61,us-route61,u.s.-route 61,u.s.-route-61,u.s.-route61,us-rte 61,us-rte-61,us-rte61,u.s.-rte 61,u.s.-rte-61,u.s.-rte61"
71,US 62,"us 62,us-62,us62,u.s. 62,u.s.-62,u.s.62,us route 62,us route-62,us route62,u.s. route 62,u.s. route-62,u.s. route62,us rte 62,us rte-62,us rte62,u.s. rte 62,u.s. rte-62,u.s. rte62,us-route 62,us-route-62,us-route62,u.s.-route 62,u.s.-route-62,u.s.-route62,us-rte 62,us-rte-62,us-rte62,u.s.-rte 62,u.s.-rte-62,u.s.-rte62"
72,US 63,"us 63,us-63,us63,u.s. 63,u.s.-63,u.s.63,us route 63,us route-63,us route63,u.s. route 63,u.s. route-63,u.s. route63,us rte 63,us rte-63,us rte63,u.s. rte 63,u.s. rte-63,u.s. rte63,us-route 63,us-route-63,us-route63,u.s.-route 63,u.s.-route-63,u.s.-route63,us-rte 63,us-rte-63,us-rte63,u.s.-rte 63,u.s.-rte-63,u.s.-rte63"
73,US 64,"us 64,us-64,us64,u.s. 64,u.s.-64,u.s.64,us route 64,us route-64,us route64,u.s. route 64,u.s. route-64,u.s. route64,us rte 64,us rte-64,us rte64,u.s. rte 64,u.s. rte-64,u.s. rte64,us-route 64,us-route-64,us-route64,u.s.-route 64,u.s.-route-64,u.s.-route64,us-rte 64,us-rte-64,us-rte64,u.s.-rte 64,u.s.-rte-64,u.s.-rte64"
74,US 65,"us 65,us-65,us65,u.s. 65,u.s.-65,u.s.65,us route 65,us route-65,us route65,u.s. route 65,u.s. route-65,u.s. route65,us rte 65,us rte-65,us rte65,u.s. rte 65,u.s. rte-65,u.s. rte65,us-route 65,us-route-65,us-route65,u.s.-route 65,u.s.-route-65,u.s.-route65,us-rte 65,us-rte-65,us-rte65,u.s.-rte 65,u.s.-rte-65,u.s.-rte65"
75,US 67,"us 67,us-67,us67,u.s. 67,u.s.-67,u.s.67,us route 67,us route-67,us route67,u.s. route 67,u.s. route-67,u.s. route67,us rte 67,us rte-67,us rte67,u.s. rte 67,u.s. rte-67,u.s. rte67,us-route 67,us-route-67,us-route67,u.s.-route 67,u.s.-route-67,u.s.-route67,us-rte 67,us-rte-67,us-rte67,u.s.-rte 67,u.s.-rte-67,u.s.-rte67"
76,US 68,"us 68,us-68,us68,u.s. 68,u.s.-68,u.s.68,us route 68,us route-68,us route68,u.s. route 68,u.s. route-68,u.s. route68,us rte 68,us rte-68,us rte68,u.s. rte 68,u.s. rte-68,u.s. rte68,us-route 68,us-route-68,us-route68,u.s.-route 68,u.s.-route-68,u.s.-route68,us-rte 68,us-rte-68,us-rte68,u.s.-rte 68,u.s.-rte-68,u.s.-rte68"
77,US 69,"us 69,us-69,us69,u.s. 69,u.s.-69,u.s.69,us route 69,us route-69,us route69,u.s. route 69,u.s. route-69,u.s. route69,us rte 69,us rte-69,us rte69,u.s. rte 69,u.s. rte-69,u.s. rte69,us-route 69,us-route-69,us-route69,u.s.-route 69,u.s.-route-69,u.s.-route69,us-rte 69,us-rte-69,us-rte69,u.s.-rte 69,u.s.-rte-69,u.s.-rte69"
78,US 70,"us 70,us-70,us70,u.s. 70,u.s.-70,u.s.70,us route 70,us route-70,us route70,u.s. route 70,u.s. route-70,u.s. route70,us rte 70,us rte-70,us rte70,u.s. rte 70,u.s. rte-70,u.s. rte70,us-route 70,us-route-70,us-route70,u.s.-route 70,u.s.-route-70,u.s.-route70,us-rte 70,us-rte-70,us-rte70,u.s.-rte 70,u.s.-rte-70,u.s.-rte70"
