State,Interstate Highway
Virginia,I-381
Virginia,I-395
Virginia,I-464
Virginia,I-495
Virginia,I-564
Virginia,I-581
Virginia,I-664
Washington,I-5
Washington,I-82
Washington,I-90
Washington,I-182
Washington,I-205
Washington,I-405
Washington,I-705
West Virginia,I-64
West Virginia,I-68
West Virginia,I-70
West Virginia,I-77
West Virginia,I-79
West Virginia,I-81
West Virginia,I-470
Wisconsin,I-39
Wisconsin,I-41 
Wisconsin,I-43
Wisconsin,I-90
Wisconsin,I-94
Wisconsin,I-535
Wisconsin,I-794
Wisconsin,I-894
Wyoming,I-25
Wyoming,I-80
Wyoming,I-90
Wyoming,I-180
