,highway_string,has_highway,county_string,has_county,city_string,has_city
2746,I-95,1,None,0,None,0
2747,I-95,1,None,0,None,0
2748,SR 429,1,None,0,None,0
2749,None,0,None,0,None,0
2750,None,0,None,0,None,0
2751,I-95,1,None,0,None,0
2752,I-95,1,None,0,None,0
2753,SR 528,1,None,0,None,0
2754,SR 429,1,None,0,None,0
2755,SR 528,1,None,0,None,0
2756,I-95,1,None,0,None,0
2757,I-95,1,None,0,None,0
2758,I-95,1,None,0,None,0
2759,SR 429,1,None,0,None,0
2760,I-4,1,None,0,seminole,1
2761,I-95,1,None,0,None,0
2762,SR 429,1,None,0,None,0
2763,I-4,1,None,0,seminole,1
2764,SR 429,1,None,0,None,0
2765,I-4,1,None,0,seminole,1
2766,I-95,1,None,0,None,0
2767,SR 429,1,None,0,None,0
2768,I-4,1,None,0,seminole,1
2769,I-95,1,None,0,None,0
2770,SR 429,1,None,0,None,0
2771,I-4,1,None,0,seminole,1
2772,"I-4,SR 472",1,None,0,None,0
2773,I-95,1,None,0,None,0
2774,I-95,1,None,0,None,0
2775,I-4,1,None,0,seminole,1
2776,I-95,1,None,0,None,0
2777,SR 429,1,None,0,None,0
2778,I-95,1,None,0,None,0
2779,SR 429,1,None,0,None,0
2780,SR 429,1,None,0,None,0
2781,"I-4,Turnpike",1,None,0,None,0
2782,SR 429,1,None,0,None,0
2783,"I-4,Turnpike",1,None,0,None,0
2784,None,0,None,0,None,0
2785,None,0,None,0,None,0
2786,I-4,1,None,0,None,0
2787,"I-75,Turnpike",1,None,0,None,0
2788,I-4,1,None,0,None,0
2789,"I-4,SR 528,SR 435",1,None,0,None,0
2790,"I-4,SR 528,SR 435",1,None,0,None,0
2791,"I-4,SR 528",1,None,0,None,0
2792,SR 429,1,None,0,None,0
2793,SR 434,1,None,0,None,0
2794,"I-4,SR 50,SR 414",1,None,0,None,0
2795,"I-4,SR 50,SR 414",1,None,0,None,0
2796,"I-4,SR 50,SR 414",1,None,0,None,0
2797,I-4,1,None,0,None,0
2798,I-95,1,None,0,None,0
2799,I-4,1,None,0,None,0
2800,Turnpike,1,None,0,None,0
2801,Turnpike,1,None,0,None,0
2802,Turnpike,1,None,0,None,0
2803,SR 408,1,None,0,None,0
2804,"I-95,US 92",1,None,0,None,0
2805,"I-95,US 92",1,None,0,None,0
2806,"I-95,US 92",1,None,0,None,0
2807,I-95,1,None,0,None,0
2808,I-75,1,None,0,None,0
2809,I-75,1,None,0,None,0
2810,I-75,1,None,0,None,0
2811,"I-4,SR 435,US 441",1,None,0,None,0
2812,"I-4,SR 435,US 441",1,None,0,None,0
2813,"I-4,SR 435",1,None,0,None,0
2814,"I-4,SR 435",1,None,0,None,0
2815,I-4,1,None,0,seminole,1
2816,I-4,1,None,0,seminole,1
2817,I-4,1,None,0,None,0
2818,I-4,1,None,0,None,0
2819,SR 429,1,None,0,None,0
2820,I-4,1,None,0,seminole,1
2821,I-4,1,None,0,seminole,1
2822,I-4,1,None,0,seminole,1
2823,"SR 535,I-4",1,None,0,apopka,1
2824,"SR 535,I-4",1,None,0,apopka,1
2825,"I-4,SR 528",1,None,0,None,0
2826,SR 429,1,None,0,None,0
2827,I-75,1,None,0,None,0
2828,SR 408,1,None,0,None,0
2829,I-95,1,None,0,None,0
2830,I-95,1,None,0,None,0
2831,I-95,1,None,0,None,0
2832,I-95,1,None,0,None,0
2833,I-95,1,None,0,None,0
2834,None,0,None,0,None,0
2835,None,0,None,0,None,0
2836,"I-4,SR 435",1,None,0,None,0
2837,"I-4,SR 435",1,None,0,None,0
2838,I-4,1,None,0,None,0
2839,I-4,1,None,0,None,0
2840,"I-4,SR 435",1,None,0,None,0
2841,I-4,1,None,0,None,0
2842,I-4,1,None,0,None,0
2843,"I-4,SR 50",1,None,0,None,0
2844,"I-4,SR 50",1,None,0,None,0
2845,"I-4,SR 50",1,None,0,None,0
2846,"I-4,SR 50",1,None,0,None,0
2847,"I-4,SR 50",1,None,0,None,0
2848,I-4,1,None,0,None,0
2849,SR 429,1,None,0,None,0
2850,None,0,None,0,None,0
2851,None,0,None,0,None,0
2852,SR 417,1,None,0,None,0
2853,"I-95,SR 519",1,None,0,None,0
2854,SR 408,1,None,0,None,0
2855,"I-4,SR 423",1,None,0,None,0
2856,SR 417,1,None,0,None,0
2857,SR 417,1,None,0,None,0
2858,I-4,1,None,0,None,0
2859,SR 417,1,None,0,None,0
2860,SR 417,1,None,0,None,0
2861,I-95,1,None,0,None,0
2862,SR 417,1,None,0,None,0
2863,"I-4,Turnpike",1,None,0,None,0
2864,"I-4,Turnpike",1,None,0,None,0
2865,I-4,1,None,0,None,0
2866,I-4,1,None,0,None,0
2867,I-4,1,None,0,None,0
2868,I-4,1,None,0,None,0
2869,"I-95,SR 514",1,None,0,None,0
2870,I-4,1,None,0,None,0
2871,"I-4,Turnpike",1,None,0,None,0
2872,"I-4,Turnpike",1,None,0,None,0
2873,"I-4,SR 414",1,None,0,None,0
2874,"I-4,SR 414",1,None,0,None,0
2875,"I-4,SR 44",1,None,0,None,0
2876,"I-4,SR 44",1,None,0,None,0
2877,I-95,1,None,0,None,0
2878,"I-95,SR 519",1,None,0,None,0
2879,"I-4,SR 423",1,None,0,None,0
2880,"I-4,SR 423",1,None,0,None,0
2881,"I-95,SR 514",1,None,0,None,0
2882,"I-95,SR 514",1,None,0,None,0
2883,I-95,1,None,0,None,0
2884,SR 417,1,None,0,None,0
2885,"SR 520,SR 528",1,None,0,None,0
2886,I-4,1,None,0,None,0
2887,SR 417,1,None,0,None,0
2888,I-4,1,None,0,None,0
2889,SR 417,1,None,0,None,0
2890,"SR 520,SR 528",1,None,0,None,0
2891,"SR 520,SR 528",1,None,0,None,0
2892,"SR 520,SR 528",1,None,0,None,0
2893,I-4,1,None,0,None,0
2894,I-4,1,None,0,None,0
2895,I-4,1,None,0,None,0
2896,"SR 50,SR 423",1,None,0,None,0
2897,I-4,1,None,0,None,0
2898,"SR 50,SR 423",1,None,0,None,0
2899,"I-4,SR 436",1,None,0,seminole,1
2900,SR 429,1,None,0,None,0
2901,"I-4,SR 436",1,None,0,seminole,1
2902,I-95,1,None,0,None,0
2903,I-4,1,None,0,seminole,1
2904,I-95,1,None,0,None,0
2905,I-75,1,None,0,None,0
2906,I-75,1,None,0,None,0
2907,SR 417,1,None,0,None,0
2908,"I-75,Turnpike",1,None,0,None,0
2909,"I-75,Turnpike",1,None,0,None,0
2910,I-95,1,None,0,None,0
2911,I-95,1,None,0,None,0
2912,"I-4,SR 408",1,None,0,None,0
2913,None,0,None,0,None,0
2914,None,0,None,0,None,0
2915,Turnpike,1,None,0,None,0
2916,Turnpike,1,None,0,None,0
2917,"I-4,SR 423",1,None,0,None,0
2918,I-95,1,None,0,None,0
2919,I-95,1,None,0,None,0
2920,"I-4,SR 50",1,None,0,None,0
2921,"I-4,SR 423",1,None,0,None,0
2922,SR 429,1,None,0,None,0
2923,I-4,1,None,0,None,0
2924,"I-95,SR 519",1,None,0,None,0
2925,I-4,1,None,0,None,0
2926,I-4,1,None,0,None,0
2927,"I-95,SR 519",1,None,0,None,0
2928,I-95,1,None,0,None,0
2929,I-4,1,None,0,None,0
2930,I-95,1,None,0,None,0
2931,I-95,1,None,0,None,0
2932,US 17,1,None,0,seminole,1
2933,I-95,1,None,0,None,0
2934,I-95,1,None,0,None,0
2935,US 17,1,None,0,seminole,1
2936,I-95,1,None,0,None,0
2937,SR 429,1,None,0,None,0
2938,"I-75,SR 44",1,None,0,None,0
2939,"I-75,SR 44",1,None,0,None,0
2940,"I-4,SR 414",1,None,0,None,0
2941,"I-4,SR 414",1,None,0,None,0
2942,"I-4,SR 414",1,None,0,None,0
2943,SR 429,1,None,0,None,0
2944,SR 429,1,None,0,None,0
2945,"I-4,SR 50",1,None,0,None,0
2946,SR 429,1,None,0,None,0
2947,"I-4,SR 50",1,None,0,None,0
2948,SR 429,1,None,0,None,0
2949,"I-4,SR 50",1,None,0,None,0
2950,SR 429,1,None,0,None,0
2951,"I-4,SR 50",1,None,0,None,0
2952,SR 429,1,None,0,None,0
2953,SR 408,1,None,0,None,0
2954,"I-4,SR 50",1,None,0,None,0
2955,"I-4,US 441",1,None,0,None,0
2956,"I-4,Turnpike",1,None,0,None,0
2957,I-4,1,None,0,None,0
2958,I-4,1,None,0,None,0
2959,"I-4,SR 423",1,None,0,None,0
2960,I-4,1,None,0,None,0
2961,"I-4,SR 423",1,None,0,None,0
2962,SR 429,1,None,0,None,0
2963,"I-4,SR 50",1,None,0,None,0
2964,SR 528,1,None,0,None,0
2965,SR 429,1,None,0,None,0
2966,"I-4,SR 50",1,None,0,None,0
2967,SR 429,1,None,0,None,0
2968,"I-4,SR 50",1,None,0,None,0
2969,SR 429,1,None,0,None,0
2970,I-4,1,None,0,None,0
2971,"I-4,SR 50",1,None,0,None,0
2972,I-4,1,None,0,None,0
2973,I-75,1,None,0,None,0
2974,SR 429,1,None,0,None,0
2975,"I-4,SR 50",1,None,0,None,0
2976,"I-4,SR 423",1,None,0,None,0
2977,SR 429,1,None,0,None,0
2978,SR 408,1,None,0,None,0
2979,"I-4,Turnpike",1,None,0,None,0
2980,"I-4,US 441",1,None,0,None,0
2981,"I-4,SR 423",1,None,0,None,0
2982,SR 429,1,None,0,None,0
2983,I-4,1,None,0,None,0
2984,"I-4,SR 50",1,None,0,None,0
2985,I-4,1,None,0,None,0
2986,"I-4,Turnpike",1,None,0,None,0
2987,"I-4,US 441",1,None,0,None,0
2988,I-4,1,None,0,None,0
2989,"I-4,SR 423",1,None,0,None,0
2990,None,0,None,0,None,0
2991,"SR 417,SR 408",1,None,0,None,0
2992,"SR 417,SR 408",1,None,0,None,0
2993,"I-95,US 92",1,None,0,None,0
2994,I-75,1,None,0,None,0
2995,I-4,1,None,0,None,0
2996,"I-95,US 192",1,None,0,None,0
2997,"I-95,US 192",1,None,0,None,0
2998,"I-4,SR 50",1,None,0,None,0
2999,SR 408,1,None,0,None,0
3000,SR 429,1,None,0,None,0
3001,"I-4,SR 50",1,None,0,None,0
3002,"I-4,SR 423",1,None,0,None,0
3003,"I-95,US 192",1,None,0,None,0
3004,"I-95,US 192",1,None,0,None,0
3005,"I-4,SR 50",1,None,0,None,0
3006,None,0,None,0,None,0
3007,None,0,None,0,None,0
3008,I-4,1,None,0,None,0
3009,"I-4,SR 50",1,None,0,None,0
3010,SR 429,1,None,0,None,0
3011,"SR 50,I-4,US 441",1,None,0,None,0
3012,I-4,1,None,0,None,0
3013,I-4,1,None,0,seminole,1
3014,I-4,1,None,0,None,0
3015,I-95,1,None,0,None,0
3016,"I-4,Turnpike",1,None,0,None,0
3017,SR 429,1,None,0,None,0
3018,"SR 528,SR 417",1,None,0,None,0
3019,I-95,1,None,0,None,0
3020,I-95,1,None,0,None,0
3021,I-95,1,None,0,None,0
3022,"I-95,US 92",1,None,0,None,0
3023,I-95,1,None,0,None,0
3024,I-95,1,None,0,None,0
3025,I-95,1,None,0,None,0
3026,I-95,1,None,0,None,0
3027,SR 417,1,None,0,None,0
3028,I-95,1,None,0,None,0
3029,I-75,1,None,0,None,0
3030,I-75,1,None,0,None,0
3031,None,0,None,0,None,0
3032,None,0,None,0,None,0
3033,I-75,1,None,0,None,0
3034,I-75,1,None,0,None,0
3035,SR 429,1,None,0,None,0
3036,"I-4,SR 423",1,None,0,None,0
3037,SR 417,1,None,0,None,0
3038,SR 417,1,None,0,None,0
3039,"I-4,US 441",1,None,0,None,0
3040,I-75,1,None,0,None,0
3041,"I-4,SR 423",1,None,0,None,0
3042,"I-4,SR 423",1,None,0,None,0
3043,I-4,1,None,0,None,0
3044,SR 528,1,None,0,None,0
3045,I-4,1,None,0,debary,1
3046,"I-75,Turnpike",1,None,0,None,0
3047,I-4,1,None,0,None,0
